ID,Movie,Watch Date,Year,Type 1,Type 2,Animation,Origin Country,Friend Who chose it,Did Friend 5 sleep,Duration (minutes),Friend 2 score,Friend 5 score,Friend 7 score,Friend 8 score,Mean score,IMDB score,IMDB-Mean
50,Perfect Blue,04/11/2022,1997,Thriller,Mystery,1,Japan,7,0,81,8,6,8,9,"7,75",8,"0,25"
51,NOPE,12/11/2022,2022,Horror,Science Fiction,0,USA,8,1,130,8,7,9,9,"8,25","6,9","-1,35"
52,Nightcrawler,19/11/2022,2014,Thriller,Crime,0,USA,2,0,117,7,8,7,8,"7,50","7,8","0,30"
53,Swiss Army Man,26/11/2022,2016,Comedy,Adventure,0,USA,5,1,97,7,6,6,10,"7,25","6,9","-0,35"
54,Paprika,02/12/2022,2006,Science Fiction,Adventure,1,Japan,7,0,90,5,5,8,9,"6,75","7,7","0,95"
55,Amiga do Inimigo,10/12/2022,2020,Drama,Suspense,0,Brazil,8,0,66,2,2,10,10,"6,00","4,1","-1,90"
56,Blindness,20/12/2022,2008,Thriller,Drama,0,Brazil,2,1,121,7,7,7,7,"7,00","6,5","-0,50"
57,Twilight,24/12/2022,2008,Romance,Fantasy,0,USA,5,0,122,7,8,8,7,"7,50","5,3","-2,20"
58,Baahubali: The Beginning,31/12/2022,2015,Action,War,0,India,7,0,159,5,5,5,6,"5,25",8,"2,75"
59,Internet: The Movie,06/01/2023,2017,Comedy,Suspense,0,Brazil,8,0,96,2,2,0,3,"1,75","3,2","1,45"
60,The Nice Guys,17/01/2023,2016,Action,Comedy,0,USA,2,1,116,7,6,7,7,"6,75","7,3","0,55"
61,The Twilight Saga: New Moon,20/01/2023,2009,Fantasy,Romance,0,USA,5,1,130,7,7,7,7,"7,00","4,7","-2,30"
62,The Man Who Copied,27/01/2023,2003,Romance,Drama,0,Brazil,7,0,123,7,7,9,9,"8,00","7,6","-0,40"
63,Tár,04/02/2023,2022,Drama,Musical,0,USA,8,0,158,7,6,10,10,"8,25","7,5","-0,75"
64,Triangle of Sadness,11/02/2023,2022,Drama,Comedy,0,Germany,2,1,147,6,5,9,8,"7,00","7,4","0,40"
65,Nightmare Alley,18/02/2023,2021,Suspense,Drama,0,USA,5,0,150,7,8,8,8,"7,75",7,"-0,75"
